cuadro,vital_event,dim1_name,dim1_value,dim2_name,dim2_value,value,anomaly,sex
2.6,death,geography,Sánchez Ramírez,deceased_age_band,75-79,92,,both
2.6,death,geography,Sánchez Ramírez,deceased_age_band,80-84,57,,both
2.6,death,geography,Sánchez Ramírez,deceased_age_band,85 y mas,146,,both
2.6,death,geography,Sánchez Ramírez,deceased_age_band,No declarada,6,,both
2.6,death,geography,Monseñor Nouel,deceased_age_band,TOTAL,1105,,both
2.6,death,geography,Monseñor Nouel,deceased_age_band,Menos de un ano,13,,both
2.6,death,geography,Monseñor Nouel,deceased_age_band,1-4,5,,both
2.6,death,geography,Monseñor Nouel,deceased_age_band,5-9,2,,both
2.6,death,geography,Monseñor Nouel,deceased_age_band,10-14,2,,both
2.6,death,geography,Monseñor Nouel,deceased_age_band,15-19,14,,both
2.6,death,geography,Monseñor Nouel,deceased_age_band,20-24,21,,both
2.6,death,geography,Monseñor Nouel,deceased_age_band,25-29,24,,both
2.6,death,geography,Monseñor Nouel,deceased_age_band,30-34,17,,both
2.6,death,geography,Monseñor Nouel,deceased_age_band,35-39,31,,both
2.6,death,geography,Monseñor Nouel,deceased_age_band,40-44,33,,both
2.6,death,geography,Monseñor Nouel,deceased_age_band,45-49,39,,both
2.6,death,geography,Monseñor Nouel,deceased_age_band,50-54,60,,both
2.6,death,geography,Monseñor Nouel,deceased_age_band,55-59,73,,both
2.6,death,geography,Monseñor Nouel,deceased_age_band,60-64,93,,both
2.6,death,geography,Monseñor Nouel,deceased_age_band,65-69,98,,both
2.6,death,geography,Monseñor Nouel,deceased_age_band,70-74,126,,both
2.6,death,geography,Monseñor Nouel,deceased_age_band,75-79,134,,both
2.6,death,geography,Monseñor Nouel,deceased_age_band,80-84,107,,both
2.6,death,geography,Monseñor Nouel,deceased_age_band,85 y mas,210,,both
2.6,death,geography,Monseñor Nouel,deceased_age_band,No declarada,3,,both
2.6,death,geography,Región Cibao Nordeste,deceased_age_band,TOTAL,3612,,both
2.6,death,geography,Región Cibao Nordeste,deceased_age_band,Menos de un ano,82,,both
2.6,death,geography,Región Cibao Nordeste,deceased_age_band,1-4,8,,both
2.6,death,geography,Región Cibao Nordeste,deceased_age_band,5-9,8,,both
2.6,death,geography,Región Cibao Nordeste,deceased_age_band,10-14,11,,both
2.6,death,geography,Región Cibao Nordeste,deceased_age_band,15-19,36,,both
2.6,death,geography,Región Cibao Nordeste,deceased_age_band,20-24,63,,both
2.6,death,geography,Región Cibao Nordeste,deceased_age_band,25-29,57,,both
2.6,death,geography,Región Cibao Nordeste,deceased_age_band,30-34,84,,both
2.6,death,geography,Región Cibao Nordeste,deceased_age_band,35-39,79,,both
2.6,death,geography,Región Cibao Nordeste,deceased_age_band,40-44,102,,both
